,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,1,0.281814653,0.278982862,0.324625061,0.250662009,0.23491696,0.199781768,0.27628754,0.207693328,0.295518995,0.319968799,0.216255023,0.256741363,0.285562718,0.243345727,0.327466899,0.237380022,0.213770175,0.258473242,0.216351887,0.285269183,0.31297067,0.420624913,0.394208283,0.254753251,0.274659106,0.216065335,0.34762212,0.458822775,0.232951239,0.409516456,0.234700164,0.237637946,0.281384049,0.225836171,0.331265375,0.440149937,0.207715075,0.217082105,0.187398385,0.310600351,0.308244736,0.267165047,0.322300012,0.199348921,0.281192356,0.371525454,0.367420158,0.30694333,0.268999338,0.259571617,0.231553569,0.288522769,0.229253426,0.222276448,0.272618599,0.29185743,0.272655122,0.33825792,0.325856881,0.4333191,0.334411705,0.227676776,0.20004575,0.281133538,0.27127787,0.245710083,0.30256121,0.460037673,0.253949764,0.425323574,0.485894206,0.436566968,0.537826985,0.396989894,0.398122422,0.36303496,0.220491424,0.227736444,0.214574771,0.293258687,0.233806988,0.229699957,0.226421178,0.22362302,0.278523814,0.299476076,0.242388307,0.322140679,0.305578034,0.221302402,0.220032506,0.198874489,0.192274272,0.228240884,0.223707292,0.177066515,0.265976048,0.232920637,0.228375121
G2,0.281814653,1,0.209289193,0.284770488,0.227833443,0.278382297,0.235813951,0.224286243,0.275518338,0.214621903,0.239183861,0.193728382,0.182048478,0.248824307,0.221986196,0.235714652,0.241491457,0.217342599,0.255527561,0.252791735,0.191658733,0.233167015,0.279809795,0.289695254,0.260023343,0.222655106,0.272376282,0.206295191,0.216231438,0.283774962,0.239910944,0.199402724,0.244409879,0.277418229,0.23273091,0.245512209,0.199555376,0.186214324,0.206467548,0.212211702,0.186032638,0.230989128,0.188294701,0.235749289,0.248747071,0.205103953,0.218912578,0.231891391,0.234824228,0.175887089,0.246867638,0.219673357,0.231524173,0.212121915,0.296834344,0.267968636,0.238215036,0.199246696,0.242593616,0.245771353,0.232642647,0.212955887,0.24082266,0.228015492,0.206541213,0.22167087,0.212422075,0.259390776,0.278165955,0.192120357,0.2288922,0.265517193,0.228457996,0.276705763,0.245337493,0.242760007,0.253458094,0.183362023,0.201003088,0.20944185,0.210443562,0.226254528,0.237017768,0.231850281,0.239890539,0.220818507,0.240919261,0.260328473,0.282131979,0.194920612,0.211266121,0.259363361,0.233263197,0.207578854,0.247182731,0.224600439,0.244226744,0.22026964,0.210771942,0.209857138
G3,0.278982862,0.209289193,1,0.290546293,0.190068004,0.258211709,0.186705139,0.247242324,0.220746041,0.218190567,0.22973505,0.176365515,0.181049425,0.239370763,0.201732206,0.263397013,0.283358364,0.225656254,0.232314863,0.193520816,0.215835065,0.24061927,0.288345488,0.309090142,0.29884718,0.193374224,0.219342609,0.236166961,0.2159625,0.198887853,0.24183646,0.241197231,0.243357273,0.197437913,0.214030538,0.212525732,0.237663111,0.225341575,0.237089765,0.194285721,0.21885623,0.176818826,0.232165588,0.262017876,0.258547486,0.239361482,0.289871367,0.272491963,0.234295633,0.251546141,0.241239586,0.202079583,0.253100104,0.237749275,0.209459209,0.215864046,0.290593277,0.215868464,0.258845309,0.202088883,0.259680172,0.249484367,0.193538384,0.247925212,0.273557883,0.217002049,0.218371482,0.232179883,0.259842664,0.171370413,0.258966461,0.25554279,0.248764615,0.279374039,0.237672222,0.281425442,0.339763859,0.215102471,0.223102465,0.205450137,0.242165125,0.21757086,0.250873041,0.205825328,0.214573807,0.2101892,0.229892398,0.264678341,0.254504305,0.213111099,0.196130895,0.189607385,0.206798313,0.249316278,0.238693485,0.226711764,0.232562561,0.178443857,0.238294031,0.204549896
G4,0.324625061,0.284770488,0.290546293,1,0.220861161,0.249860061,0.199236758,0.308881455,0.30803962,0.269585524,0.245627566,0.23760589,0.207746981,0.232046196,0.219424704,0.236056586,0.273122562,0.21307244,0.235295999,0.198419219,0.239154694,0.259710862,0.425452955,0.405831067,0.21328229,0.185099171,0.241636065,0.256179203,0.249310811,0.237606433,0.260642191,0.225639095,0.208050781,0.253822712,0.244273981,0.252682859,0.245533301,0.245809944,0.203839427,0.203327531,0.27125705,0.234762061,0.337269525,0.204515744,0.240614782,0.269973071,0.251211613,0.29249191,0.26270787,0.254824384,0.267397663,0.257812714,0.291070994,0.216584659,0.259686061,0.211278584,0.252356142,0.216230161,0.23486621,0.272740915,0.294343392,0.274326612,0.232517149,0.248247119,0.236732772,0.223620792,0.261226985,0.255737381,0.318414758,0.257255234,0.304229749,0.350961262,0.267897554,0.481519762,0.213976984,0.370012645,0.324609817,0.219110745,0.224330845,0.224802571,0.253616201,0.236110517,0.301002206,0.21012579,0.231279767,0.271085037,0.207928691,0.250882921,0.322839958,0.259947969,0.20588149,0.233593305,0.269293214,0.231855902,0.24232113,0.20929171,0.227743236,0.217649036,0.215709192,0.249275705
G5,0.250662009,0.227833443,0.190068004,0.220861161,1,0.28247088,0.226828234,0.214489104,0.253599626,0.244308705,0.28231932,0.237298088,0.17242157,0.274367534,0.292936772,0.356026175,0.287333069,0.213089018,0.208251456,0.262719468,0.239426493,0.202712401,0.202026251,0.25045156,0.217700401,0.218320439,0.234076855,0.239418888,0.199950655,0.19644704,0.220230487,0.21380162,0.241795857,0.200275462,0.183363079,0.280229453,0.243689612,0.195417167,0.23942518,0.213849944,0.205694887,0.226577564,0.233079944,0.219023951,0.214864706,0.22198123,0.228452912,0.212551237,0.21649414,0.234422032,0.242345522,0.207640361,0.231541414,0.222247818,0.222324208,0.203878825,0.192478993,0.213140265,0.228726318,0.226541642,0.187906939,0.204140498,0.265681832,0.228783037,0.234575878,0.236172635,0.209914638,0.234582402,0.203492893,0.213439003,0.200785426,0.186550502,0.203235923,0.202243217,0.288732134,0.191468528,0.21539483,0.218119941,0.190173793,0.233141609,0.223476686,0.212933476,0.206745766,0.252320442,0.164572007,0.281498573,0.199186386,0.248698527,0.186889754,0.19412288,0.236237773,0.266511025,0.231807597,0.198201271,0.201278641,0.237609069,0.247839008,0.309490499,0.29069656,0.240270636
G6,0.23491696,0.278382297,0.258211709,0.249860061,0.28247088,1,0.211431913,0.207120058,0.27823748,0.270718788,0.279402982,0.290322375,0.193726652,0.356119054,0.237007721,0.285932187,0.313873442,0.216143978,0.223042604,0.225022733,0.260139219,0.219197583,0.258208466,0.190089858,0.230532761,0.211389502,0.239393949,0.23173347,0.233708609,0.22913316,0.228702963,0.234244775,0.185725716,0.205153561,0.22082422,0.290586488,0.215669319,0.214239834,0.279466504,0.200695348,0.243432396,0.251762543,0.276993791,0.265136823,0.213009945,0.19480279,0.216601643,0.192141583,0.203468805,0.330247889,0.216568253,0.21530195,0.224640557,0.274731383,0.214389671,0.30405488,0.293467958,0.255430572,0.207331266,0.243107849,0.251189538,0.259509346,0.215385734,0.240533802,0.25390786,0.306003289,0.207555372,0.214497941,0.202009293,0.254193302,0.306682752,0.232471721,0.25018066,0.255547652,0.230154742,0.270010229,0.232762598,0.230022464,0.195513668,0.230741242,0.230793447,0.266847661,0.259320143,0.235527041,0.241599983,0.307398328,0.214247879,0.209172586,0.179871213,0.241970753,0.220073694,0.225971026,0.222337287,0.193327004,0.224794499,0.201553898,0.2023533,0.231243997,0.286142606,0.232479374
G7,0.199781768,0.235813951,0.186705139,0.199236758,0.226828234,0.211431913,1,0.211897816,0.207065546,0.206863684,0.19805356,0.226497975,0.232236742,0.224657993,0.196557608,0.256930354,0.214262313,0.250307343,0.190346191,0.213741587,0.170393042,0.217757318,0.222681708,0.241300622,0.225028881,0.217854,0.187104236,0.235070397,0.171556607,0.221968585,0.185187854,0.196381945,0.209992304,0.21228486,0.272987459,0.210811584,0.222224813,0.225198781,0.198710811,0.2253878,0.207096294,0.199865526,0.242365854,0.211047946,0.245566755,0.211054791,0.19085188,0.220839608,0.188682386,0.200809597,0.223887793,0.25450711,0.234697148,0.199512282,0.232405677,0.208668241,0.213352654,0.235888828,0.217985111,0.205568355,0.253127222,0.215925841,0.235940454,0.21825638,0.228367994,0.252210094,0.210215171,0.209456521,0.197254753,0.22351694,0.218348917,0.205666473,0.226591662,0.256765967,0.207081935,0.21532637,0.19140838,0.212292166,0.246247416,0.218203709,0.20211585,0.203387849,0.21067341,0.206049068,0.1989819,0.21634165,0.208567664,0.19778245,0.254132258,0.187603489,0.201543559,0.177190641,0.179568836,0.200708651,0.202379067,0.188520822,0.205601712,0.245038905,0.20712169,0.241217746
G8,0.27628754,0.224286243,0.247242324,0.308881455,0.214489104,0.207120058,0.211897816,1,0.279516941,0.223311804,0.267985214,0.219993573,0.216856243,0.210564537,0.241987106,0.324102452,0.227291152,0.284241704,0.213925425,0.296361838,0.250062664,0.317902591,0.420962074,0.339012407,0.260790676,0.242572426,0.228156778,0.268968881,0.346266803,0.224815936,0.326229376,0.208350975,0.226241997,0.197880031,0.1801974,0.244911393,0.362550506,0.196680045,0.232029097,0.224279713,0.263504183,0.257818198,0.199501988,0.246581021,0.195020716,0.225295248,0.337203926,0.361557945,0.322845721,0.316430087,0.251678541,0.288731364,0.310786901,0.263354925,0.244504593,0.249811068,0.302628968,0.249933165,0.21069996,0.242285797,0.26895473,0.36945435,0.189143527,0.23309622,0.277108014,0.254150155,0.246996938,0.255442697,0.344202056,0.260389259,0.344146974,0.391858268,0.342273485,0.390592932,0.271890335,0.408875012,0.356038054,0.175555829,0.236671391,0.207294822,0.226863164,0.265370367,0.248717526,0.25385609,0.172017608,0.269560588,0.224041577,0.246467852,0.27812041,0.207981902,0.223022057,0.263467164,0.196417264,0.211758344,0.257925143,0.196042339,0.182921032,0.240858079,0.244129311,0.227480028
G9,0.207693328,0.275518338,0.220746041,0.30803962,0.253599626,0.27823748,0.207065546,0.279516941,1,0.332189359,0.260954776,0.259072816,0.254345969,0.202597853,0.337163466,0.400005631,0.295796116,0.263218218,0.289723269,0.231186306,0.232864913,0.284254245,0.259157135,0.314934903,0.232562035,0.287488635,0.36530931,0.361858525,0.258431953,0.239294588,0.294490228,0.223553637,0.251412751,0.25230923,0.215602795,0.270697816,0.369533432,0.297600841,0.272435045,0.233894162,0.32072962,0.233094413,0.334194645,0.263383382,0.269853815,0.281152054,0.292792097,0.31271369,0.332201446,0.391040572,0.280332925,0.308366857,0.356826409,0.263437288,0.277228605,0.22794446,0.336636654,0.311032686,0.241654718,0.272196409,0.27130455,0.273267668,0.264375199,0.282181095,0.24518059,0.290530154,0.214243746,0.242903801,0.250306754,0.191450748,0.275064247,0.233697571,0.222309104,0.282746146,0.282004945,0.250669627,0.244758709,0.25181037,0.281588547,0.264601852,0.330015223,0.250245422,0.258943656,0.27909551,0.290672952,0.267380048,0.29967596,0.263479789,0.278125268,0.285966333,0.246047475,0.231449499,0.468995594,0.331154748,0.339052268,0.196441344,0.200149926,0.201059239,0.193580167,0.243134673
G10,0.295518995,0.214621903,0.218190567,0.269585524,0.244308705,0.270718788,0.206863684,0.223311804,0.332189359,1,0.196425583,0.29493174,0.198664371,0.390051933,0.251756437,0.28150941,0.279784557,0.2709959,0.303996829,0.232717571,0.256473238,0.220139452,0.230732888,0.229732105,0.22861657,0.201864154,0.222505812,0.355942182,0.236401695,0.239978408,0.281866767,0.212988082,0.218982676,0.199152877,0.246099053,0.21853564,0.271769833,0.24102091,0.344303061,0.181466925,0.221988004,0.236595915,0.659954628,0.473549262,0.281930459,0.279094873,0.251723061,0.256442799,0.270810836,0.310394218,0.252764565,0.241981727,0.316294258,0.198368426,0.221325379,0.411186482,0.26719116,0.254799043,0.333891574,0.248353634,0.221581924,0.300324181,0.329659257,0.394740465,0.228463019,0.206438988,0.204676533,0.243539101,0.241599724,0.237606614,0.249163448,0.242273187,0.262452259,0.220380032,0.257497933,0.24492143,0.208334274,0.21454336,0.313722941,0.291061618,0.300209089,0.251672849,0.227164803,0.218696377,0.218902083,0.245645158,0.276995129,0.193761758,0.300971662,0.32990605,0.29608869,0.273751029,0.342290442,0.352828612,0.308499157,0.236313188,0.175369785,0.21261706,0.242180698,0.30384748
